Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
18,Kawhi Leonard,34,LAC,SF,41,41,1344,397,808,.491,110,287,.383,287,521,.551,.559,239,262,.912,44,220,264,151,86,21,88,52,1143,0,,leonaka01
19,Keyonte George,22,UTA,PG,48,48,1629,358,782,.458,120,320,.375,238,462,.515,.535,305,341,.894,23,164,187,313,52,14,158,112,1141,0,,georgke01
20,Nikola Jokić,30,DEN,C,39,39,1338,393,666,.590,76,181,.420,317,485,.654,.647,257,306,.840,122,358,480,417,53,30,144,105,1119,20,,jokicni01
21,Lauri Markkanen,28,UTA,PF,41,41,1410,374,782,.478,114,314,.363,260,468,.556,.551,232,260,.892,82,204,286,87,40,21,61,77,1094,0,,markkla01
22,Nickeil Alexander-Walker,27,ATL,SG,54,47,1795,368,850,.433,164,440,.373,204,410,.498,.529,184,208,.885,32,163,195,200,63,33,110,118,1084,0,,alexani01
23,Devin Booker,29,PHO,SG,43,43,1458,356,782,.455,74,238,.311,282,544,.518,.503,297,344,.863,35,136,171,270,39,12,143,117,1083,0,,bookede01
24,Stephen Curry,37,GSW,PG,39,39,1222,348,744,.468,175,448,.391,173,296,.584,.585,190,204,.931,16,122,138,189,44,16,111,74,1061,0,,curryst01
25,DeMar DeRozan,36,SAC,PF,56,56,1813,370,749,.494,41,122,.336,329,627,.525,.521,266,308,.864,28,149,177,211,65,14,63,114,1047,0,,derozde01
26,Scottie Barnes,24,TOR,PF,54,54,1856,406,806,.504,49,163,.301,357,643,.555,.534,182,222,.820,118,336,454,303,70,86,143,154,1043,2,,barnesc01
27,Desmond Bane,27,ORL,SG,53,53,1801,376,797,.472,102,274,.372,274,523,.524,.536,186,200,.930,66,156,222,221,48,27,116,163,1040,0,,banede01
28,Dillon Brooks,30,PHO,SF,49,49,1523,381,864,.441,116,338,.343,265,526,.504,.508,161,188,.856,38,142,180,88,52,8,89,165,1039,0,,brookdi01
29,Norman Powell,32,MIA,SG,45,45,1379,345,728,.474,130,328,.396,215,400,.538,.563,214,254,.843,17,147,164,116,55,10,89,100,1034,0,,powelno01
30,Michael Porter Jr.,27,BRK,SF,41,41,1353,362,763,.474,150,390,.385,212,373,.568,.573,151,177,.853,53,241,294,130,43,10,102,89,1025,0,,portemi01
31,Shaedon Sharpe,22,POR,SG,48,42,1439,386,847,.456,101,297,.340,285,550,.518,.515,152,194,.784,48,164,212,126,68,6,144,95,1025,0,,sharpsh01
32,Kon Knueppel,20,CHO,SF,54,53,1734,350,723,.484,183,425,.431,167,298,.560,.611,138,153,.902,65,232,297,192,37,13,119,116,1021,0,,knuepko01
33,Karl-Anthony Towns,30,NYK,C,51,51,1597,333,714,.466,80,228,.351,253,486,.521,.522,264,309,.854,155,452,607,148,44,31,129,180,1010,0,,townska01
34,Cooper Flagg,19,DAL,SF,49,49,1669,381,790,.482,52,172,.302,329,618,.532,.515,185,230,.804,56,265,321,202,58,39,108,105,999,0,,flaggco01
35,Victor Wembanyama,22,SAS,C,40,31,1161,334,654,.511,73,201,.363,261,453,.576,.567,235,290,.810,78,365,443,110,38,106,105,108,976,1,,wembavi01
36,Miles Bridges,27,CHO,PF,53,53,1707,344,767,.449,112,342,.327,232,425,.546,.522,163,193,.845,52,270,322,184,27,26,78,98,963,0,,bridgmi02
37,CJ McCollum,34,2TM,SG,51,37,1537,354,778,.455,132,346,.382,222,432,.514,.540,117,151,.775,35,139,174,182,38,19,87,99,957,0,,mccolcj01
37,CJ McCollum,34,WAS,SG,35,35,1082,240,529,.454,96,244,.393,144,285,.505,.544,82,102,.804,23,101,124,126,24,9,58,73,658,0,,mccolcj01
37,CJ McCollum,34,ATL,PG,16,2,455,114,249,.458,36,102,.353,78,147,.531,.530,35,49,.714,12,38,50,56,14,10,29,26,299,0,,mccolcj01
38,Alperen Şengün,23,HOU,C,46,46,1559,370,744,.497,26,87,.299,344,657,.524,.515,186,269,.691,146,285,431,289,62,47,145,151,952,2,,sengual01
39,Jaren Jackson Jr.,26,2TM,C,48,48,1454,342,719,.476,84,235,.357,258,484,.533,.534,163,203,.803,42,230,272,94,53,69,107,179,931,0,,jacksja02
39,Jaren Jackson Jr.,26,MEM,C,45,45,1382,318,670,.475,79,220,.359,239,450,.531,.534,149,187,.797,41,218,259,86,47,68,100,170,864,0,,jacksja02
39,Jaren Jackson Jr.,26,UTA,C,3,3,72,24,49,.490,5,15,.333,19,34,.559,.541,14,16,.875,1,12,13,8,6,1,7,9,67,0,,jacksja02
40,Amen Thompson,23,HOU,PG,52,52,1937,353,699,.505,18,88,.205,335,611,.548,.518,193,246,.785,150,244,394,281,74,32,129,113,917,0,,thompam01
41,Paolo Banchero,23,ORL,PF,43,43,1482,304,670,.454,49,162,.302,255,508,.502,.490,259,340,.762,47,315,362,206,30,27,118,83,916,2,,banchpa01
42,Payton Pritchard,28,BOS,PG,53,48,1732,344,744,.462,136,382,.356,208,362,.575,.554,89,104,.856,47,174,221,283,41,5,63,74,913,0,,pritcpa01
43,Derrick White,31,BOS,SG,52,52,1781,310,796,.389,149,459,.325,161,337,.478,.483,127,142,.894,53,175,228,290,62,73,93,83,896,0,,whitede01
44,Bam Adebayo,28,MIA,C,48,48,1506,312,705,.443,78,231,.338,234,474,.494,.498,183,234,.782,99,376,475,134,49,34,89,79,885,0,,adebaba01
45,Immanuel Quickley,26,TOR,PG,52,52,1685,309,694,.445,139,366,.380,170,328,.518,.545,128,159,.805,29,198,227,315,64,5,83,109,885,0,,quickim01
46,Mikal Bridges,29,NYK,SF,55,55,1895,350,694,.504,118,306,.386,232,388,.598,.589,58,70,.829,59,171,230,224,79,45,58,109,876,0,,bridgmi01
47,De'Aaron Fox,28,SAS,PG,45,45,1442,326,674,.484,90,255,.353,236,419,.563,.550,132,166,.795,26,147,173,282,57,13,109,100,874,0,,foxde01
48,LaMelo Ball,24,CHO,PG,45,42,1247,306,764,.401,155,427,.363,151,337,.448,.502,100,113,.885,38,178,216,332,50,10,136,117,867,1,,ballla01
49,Zion Williamson,25,NOP,PF,40,33,1187,320,548,.584,0,3,.000,320,545,.587,.584,224,315,.711,90,154,244,140,39,24,92,94,864,0,,willizi01
50,Ryan Rollins,23,MIL,PG,51,46,1633,330,712,.463,122,300,.407,208,412,.505,.549,78,103,.757,42,193,235,278,75,20,122,140,860,0,,rolliry01
51,Chet Holmgren,23,OKC,PF,49,49,1430,318,568,.560,61,175,.349,257,393,.654,.614,158,201,.786,92,334,426,80,25,95,75,120,855,0,,holmgch01
52,Anthony Black,22,ORL,PG,53,33,1649,306,665,.460,89,257,.346,217,408,.532,.527,151,200,.755,40,174,214,212,74,38,116,146,852,0,,blackan01
53,Nikola Vučević,35,2TM,C,51,48,1558,349,693,.504,87,230,.378,262,463,.566,.566,66,80,.825,110,350,460,188,35,34,77,105,851,0,,vucevni01
53,Nikola Vučević,35,CHI,C,48,48,1480,333,660,.505,82,218,.376,251,442,.568,.567,62,74,.838,100,331,431,181,32,31,69,97,810,0,,vucevni01
53,Nikola Vučević,35,BOS,C,3,0,78,16,33,.485,5,12,.417,11,21,.524,.561,4,6,.667,10,19,29,7,3,3,8,8,41,0,,vucevni01
54,Giannis Antetokounmpo,31,MIL,PF,30,30,876,314,487,.645,15,38,.395,299,449,.666,.660,196,298,.658,84,217,301,168,27,22,100,78,839,0,,antetgi01
55,Matas Buzelis,21,CHI,PF,55,55,1554,299,631,.474,113,304,.372,186,327,.569,.563,123,158,.778,57,239,296,114,36,81,103,133,834,0,,buzelma01
56,Joel Embiid,31,PHI,C,31,31,972,278,563,.494,39,122,.320,239,441,.542,.528,230,268,.858,65,167,232,121,20,34,92,67,825,1,,embiijo01
57,Onyeka Okongwu,25,ATL,C,50,39,1596,300,620,.484,103,272,.379,197,348,.566,.567,109,140,.779,93,292,385,162,58,49,97,175,812,0,,okongon01
58,Saddiq Bey,26,NOP,SF,49,41,1494,278,624,.446,93,267,.348,185,357,.518,.520,162,192,.844,79,208,287,121,45,2,35,57,811,0,,beysa01
59,Jaden McDaniels,25,MIN,PF,54,54,1734,306,590,.519,83,183,.454,223,407,.548,.589,114,135,.844,63,168,231,155,52,54,93,180,809,0,,mcdanja02
60,Naji Marshall,28,DAL,SF,53,29,1568,294,552,.533,48,156,.308,246,396,.621,.576,162,209,.775,47,214,261,158,55,5,73,103,798,0,,marshna01
61,Andrew Wiggins,30,MIA,SF,50,50,1564,305,648,.471,98,248,.395,207,400,.518,.546,89,116,.767,89,161,250,138,60,48,85,112,797,0,,wiggian01
62,Russell Westbrook,37,SAC,SF,52,46,1521,294,683,.430,107,310,.345,187,373,.501,.509,101,145,.697,72,224,296,342,68,8,177,128,796,4,,westbru01
63,Naz Reid,26,MIN,C,56,2,1468,298,635,.469,135,351,.385,163,284,.574,.576,62,84,.738,65,294,359,139,57,52,90,141,793,0,,reidna01
64,LeBron James,41,LAL,SF,36,36,1200,295,588,.502,51,167,.305,244,421,.580,.545,150,201,.746,24,185,209,254,39,21,111,49,791,1,,jamesle01
65,Jabari Smith Jr.,22,HOU,PF,52,52,1823,283,648,.437,115,321,.358,168,327,.514,.525,110,142,.775,82,285,367,96,41,50,68,131,791,0,,smithja05
66,Brandon Miller,23,CHO,SF,38,38,1158,270,636,.425,113,309,.366,157,327,.480,.513,131,147,.891,41,139,180,125,40,34,104,105,784,0,,millebr02
67,Jalen Duren,22,DET,C,44,44,1218,303,480,.631,0,0,,303,480,.631,.631,171,232,.737,162,296,458,77,40,34,83,125,777,0,,durenja01
68,Jaime Jaquez Jr.,24,MIA,SF,51,1,1473,314,622,.505,27,102,.265,287,520,.552,.527,122,163,.748,68,209,277,241,43,15,115,102,777,0,,jaqueja01
69,Tim Hardaway Jr.,33,DEN,SG,54,5,1487,246,543,.453,155,379,.409,91,164,.555,.596,116,135,.859,10,132,142,71,28,8,25,67,763,0,,hardati02
70,Anfernee Simons,26,2TM,SG,53,4,1328,276,624,.442,142,367,.387,134,257,.521,.556,67,75,.893,31,101,132,133,27,8,65,90,761,0,,simonan01
70,Anfernee Simons,26,BOS,SG,49,0,1202,250,568,.440,130,329,.395,120,239,.502,.555,64,72,.889,26,92,118,116,27,6,55,82,694,0,,simonan01
70,Anfernee Simons,26,CHI,SG,4,4,126,26,56,.464,12,38,.316,14,18,.778,.571,3,3,1.000,5,9,14,17,0,2,10,8,67,0,,simonan01
71,Jimmy Butler,36,GSW,SF,38,38,1182,240,462,.519,32,85,.376,208,377,.552,.554,248,287,.864,88,123,211,185,55,8,60,46,760,0,,butleji01
72,Evan Mobley,24,CLE,PF,42,40,1402,291,568,.512,48,158,.304,243,410,.593,.555,122,192,.635,97,271,368,170,38,82,88,106,752,0,,mobleev01
73,Jerami Grant,31,POR,PF,40,21,1164,231,527,.438,92,246,.374,139,281,.495,.526,196,237,.827,37,104,141,95,26,26,84,102,750,0,,grantje01
74,Andrew Nembhard,26,IND,PG,43,43,1381,262,594,.441,83,228,.364,179,366,.489,.511,142,174,.816,18,109,127,321,39,7,105,95,749,0,,nembhan01
75,Zach LaVine,30,SAC,SG,39,37,1224,262,547,.479,99,254,.390,163,293,.556,.569,125,142,.880,8,100,108,89,28,10,74,81,748,0,,lavinza01
76,VJ Edgecombe,20,PHI,SG,50,50,1768,276,653,.423,100,284,.352,176,369,.477,.499,92,117,.786,81,189,270,206,74,25,91,151,744,0,,edgecvj01
77,Jeremiah Fears,19,NOP,PG,56,44,1435,282,658,.429,59,182,.324,223,476,.468,.473,118,145,.814,41,165,206,171,71,18,123,103,741,0,,fearsje01
78,Toumani Camara,25,POR,PF,56,56,1873,261,592,.441,146,395,.370,115,197,.584,.564,66,94,.702,97,203,300,144,56,25,111,178,734,0,,camarto01
79,Peyton Watson,23,DEN,SF,49,39,1502,264,532,.496,75,180,.417,189,352,.537,.567,128,176,.727,45,195,240,96,50,58,86,121,731,0,,watsope01
80,Keldon Johnson,26,SAS,SF,54,0,1289,277,505,.549,65,171,.380,212,334,.635,.613,110,139,.791,97,221,318,78,36,8,53,110,729,0,,johnske04
81,Stephon Castle,21,SAS,PG,44,43,1327,249,537,.464,46,160,.288,203,377,.538,.507,184,255,.722,54,168,222,307,58,15,150,148,728,2,,castlst01
82,Ayo Dosunmu,26,2TM,SG,48,10,1271,268,518,.517,92,206,.447,176,312,.564,.606,93,108,.861,33,106,139,172,39,13,63,86,721,0,,dosunay01
82,Ayo Dosunmu,26,CHI,SG,45,10,1187,250,486,.514,87,193,.451,163,293,.556,.604,90,105,.857,33,103,136,164,34,12,61,78,677,0,,dosunay01
82,Ayo Dosunmu,26,MIN,SG,3,0,84,18,32,.563,5,13,.385,13,19,.684,.641,3,3,1.000,0,3,3,8,5,1,2,8,44,0,,dosunay01
83,Collin Gillespie,26,PHO,PG,54,35,1527,250,576,.434,163,385,.423,87,191,.455,.576,55,65,.846,53,172,225,253,75,12,89,83,718,0,,gilleco01
84,Donte DiVincenzo,29,MIN,SG,56,56,1745,242,588,.412,171,447,.383,71,141,.504,.557,61,81,.753,56,195,251,234,79,25,84,144,716,0,,divindo01
85,Austin Reaves,27,LAL,SG,28,22,939,220,433,.508,70,193,.363,150,240,.625,.589,202,233,.867,19,122,141,168,27,6,94,62,712,0,,reaveau01
86,John Collins,28,LAC,PF,51,42,1426,276,488,.566,71,165,.430,205,323,.635,.638,83,106,.783,72,188,260,47,41,40,68,137,706,0,,collijo01
87,Alex Sarr,20,WAS,C,41,41,1156,285,575,.496,40,119,.336,245,456,.537,.530,94,136,.691,96,223,319,115,34,82,70,85,704,0,,sarral01
88,Jaylon Tyson,23,CLE,SG,50,35,1390,263,512,.514,104,219,.475,159,293,.543,.615,63,84,.750,101,169,270,115,43,20,78,129,693,0,,tysonja01
89,OG Anunoby,28,NYK,PF,41,41,1353,239,499,.479,85,230,.370,154,269,.572,.564,116,145,.800,59,166,225,97,71,28,85,102,679,0,,anunoog01
90,Derik Queen,21,NOP,C,55,43,1432,259,527,.491,15,54,.278,244,473,.516,.506,139,179,.777,89,308,397,228,57,50,132,156,672,2,,queende01
91,Bobby Portis,30,MIL,PF,51,9,1240,270,559,.483,97,215,.451,173,344,.503,.570,34,47,.723,67,268,335,83,31,8,54,85,671,0,,portibo01
92,Reed Sheppard,21,HOU,SG,53,6,1310,249,585,.426,128,331,.387,121,254,.476,.535,45,58,.776,18,119,137,159,76,30,70,103,671,0,,sheppre01
93,Brice Sensabaugh,22,UTA,SF,53,10,1162,231,513,.450,96,278,.345,135,235,.574,.544,107,126,.849,38,118,156,81,36,5,65,99,665,0,,sensabr01
94,Max Christie,22,DAL,SG,50,41,1484,227,486,.467,123,289,.426,104,197,.528,.594,86,99,.869,10,160,170,114,28,18,54,71,663,0,,chrisma02
95,Brandin Podziemski,22,GSW,SG,55,19,1478,234,522,.448,91,246,.370,143,276,.518,.535,102,133,.767,41,211,252,194,62,10,82,100,661,0,,podzibr01
96,Kyshawn George,22,WAS,SF,43,43,1296,233,528,.441,90,239,.377,143,289,.495,.527,94,118,.797,42,192,234,207,46,38,119,162,650,0,,georgky01
97,Collin Sexton,27,2TM,SG,45,13,1030,221,459,.481,60,158,.380,161,301,.535,.547,147,168,.875,23,68,91,163,39,7,99,87,649,0,,sextoco01
97,Collin Sexton,27,CHO,SG,42,12,938,202,414,.488,57,145,.393,145,269,.539,.557,135,154,.877,18,62,80,157,36,7,89,75,596,0,,sextoco01
97,Collin Sexton,27,CHI,SG,3,1,92,19,45,.422,3,13,.231,16,32,.500,.456,12,14,.857,5,6,11,6,3,0,10,12,53,0,,sextoco01
98,Kyle Kuzma,30,MIL,PF,50,26,1341,243,505,.481,49,152,.322,194,353,.550,.530,110,150,.733,47,202,249,127,31,21,81,105,645,0,,kuzmaky01
99,Cedric Coward,22,MEM,SG,48,35,1263,233,498,.468,71,209,.340,162,289,.561,.539,102,121,.843,65,234,299,140,27,19,84,94,639,0,,cowarce01
100,Myles Turner,29,MIL,C,50,50,1428,213,483,.441,108,279,.387,105,204,.515,.553,102,135,.756,62,223,285,81,34,84,58,134,636,0,,turnemy01
101,Josh Giddey,23,CHI,PG,34,31,1090,217,470,.462,59,161,.366,158,309,.511,.524,138,178,.775,41,251,292,299,31,11,120,56,631,7,,giddejo01
102,Jaylen Wells,22,MEM,SG,52,52,1394,217,523,.415,91,269,.338,126,254,.496,.502,104,136,.765,49,129,178,86,41,6,58,113,629,0,,wellsja01
103,Jarrett Allen,27,CLE,C,43,43,1175,248,398,.623,1,9,.111,247,389,.635,.624,131,175,.749,101,255,356,85,42,37,59,78,628,0,,allenja01
104,Nic Claxton,26,BRK,C,50,49,1464,256,434,.590,3,14,.214,253,420,.602,.593,111,183,.607,128,237,365,198,36,63,70,117,626,2,,claxtni01
105,Duncan Robinson,31,DET,SF,51,51,1437,211,478,.441,149,372,.401,62,106,.585,.597,54,73,.740,18,119,137,95,33,16,36,110,625,0,,robindu01
106,Ivica Zubac,28,LAC,C,43,42,1328,263,429,.613,0,0,,263,429,.613,.613,93,132,.705,148,325,473,96,16,36,82,104,619,0,,zubaciv01
107,De'Andre Hunter,28,2TM,SF,45,25,1176,208,501,.415,75,246,.305,133,255,.522,.490,124,143,.867,30,155,185,90,30,6,75,112,615,0,,huntede01
107,De'Andre Hunter,28,CLE,SF,43,23,1125,204,482,.423,73,237,.308,131,245,.535,.499,119,137,.869,29,153,182,89,30,6,71,107,600,0,,huntede01
107,De'Andre Hunter,28,SAC,SF,2,2,51,4,19,.211,2,9,.222,2,10,.200,.263,5,6,.833,1,2,3,1,0,0,4,5,15,0,,huntede01
108,Dyson Daniels,22,ATL,SG,53,53,1780,274,550,.498,10,75,.133,264,475,.556,.507,56,91,.615,117,225,342,327,97,22,104,116,614,1,,daniedy01
109,Moses Moody,23,GSW,SG,53,42,1331,205,469,.437,127,317,.401,78,152,.513,.572,74,95,.779,44,130,174,78,50,32,47,103,611,0,,moodymo01
110,Noah Clowney,21,BRK,PF,47,41,1335,187,477,.392,98,304,.322,89,173,.514,.495,138,173,.798,46,154,200,84,35,37,82,129,610,0,,clownno01
111,Deandre Ayton,27,LAL,C,46,46,1299,278,412,.675,0,0,,278,412,.675,.675,53,82,.646,117,272,389,41,29,44,63,107,609,0,,aytonde01
112,Quentin Grimes,25,PHI,SG,48,7,1434,197,449,.439,87,255,.341,110,194,.567,.536,128,149,.859,31,149,180,174,45,19,90,98,609,0,,grimequ01
113,Ajay Mitchell,23,OKC,SG,43,9,1129,222,456,.487,48,137,.350,174,319,.545,.539,114,131,.870,29,120,149,157,61,14,68,93,606,0,,mitchaj01
114,Mark Williams,24,PHO,C,50,46,1202,244,367,.665,1,1,1.000,243,366,.664,.666,117,152,.770,155,249,404,54,49,47,53,113,606,0,,willima07
115,Donovan Clingan,21,POR,C,52,52,1433,233,443,.526,51,159,.321,182,284,.641,.584,87,129,.674,244,353,597,107,24,75,55,121,604,0,,clingdo01
116,Sandro Mamukelashvili,26,TOR,C,53,11,1199,224,427,.525,75,196,.383,149,231,.645,.612,81,106,.764,81,187,268,103,40,32,47,104,604,0,,mamuksa01
117,Santi Aldama,25,MEM,PF,43,11,1198,228,476,.479,70,200,.350,158,276,.572,.553,76,114,.667,67,220,287,126,37,31,55,69,602,0,,aldamsa01
118,Julian Champagnie,24,SAS,SF,54,40,1508,192,455,.422,129,350,.369,63,105,.600,.564,88,104,.846,49,269,318,77,42,22,51,84,601,0,,champju02
119,Grayson Allen,30,PHO,SG,35,26,1059,197,471,.418,117,317,.369,80,154,.519,.542,85,101,.842,25,81,106,140,50,10,59,79,596,0,,allengr01
120,Franz Wagner,24,ORL,SF,28,26,891,205,428,.479,42,115,.365,163,313,.521,.528,144,174,.828,41,120,161,101,30,9,48,63,596,0,,wagnefr01
121,Rudy Gobert,33,MIN,C,54,54,1689,241,343,.703,0,2,.000,241,341,.707,.703,111,221,.502,202,400,602,90,40,87,71,143,593,0,,goberru01
122,Wendell Carter Jr.,26,ORL,C,51,51,1506,210,427,.492,57,172,.331,153,255,.600,.559,115,145,.793,108,267,375,106,41,35,61,182,592,0,,cartewe01
123,Cam Spencer,25,MEM,SG,51,14,1229,194,407,.477,110,246,.447,84,161,.522,.612,94,101,.931,25,111,136,287,36,5,76,74,592,0,,spencca01
124,Kel'el Ware,21,MIA,C,52,29,1162,236,444,.532,60,149,.403,176,295,.597,.599,57,73,.781,156,324,480,29,40,54,46,84,589,0,,wareke01
125,Brandon Williams,26,DAL,PG,46,12,1012,207,444,.466,25,113,.221,182,331,.550,.494,143,183,.781,24,109,133,169,48,9,89,74,582,0,,willibr03
126,Devin Vassell,25,SAS,SG,41,39,1264,207,490,.422,96,271,.354,111,219,.507,.520,68,80,.850,19,139,158,95,35,17,37,70,578,0,,vassede01
127,RJ Barrett,25,TOR,SF,31,31,914,208,432,.481,54,158,.342,154,274,.562,.544,105,149,.705,29,133,162,111,25,9,54,74,575,0,,barrerj01
128,Ace Bailey,19,UTA,SF,49,38,1291,233,518,.450,73,215,.340,160,303,.528,.520,34,48,.708,77,112,189,84,39,23,63,125,573,0,,baileac01
129,Harrison Barnes,33,SAS,PF,54,49,1501,195,439,.444,102,272,.375,93,167,.557,.560,80,95,.842,46,115,161,113,36,11,50,67,572,0,,barneha02
130,Royce O'Neale,32,PHO,SF,55,50,1614,198,467,.424,154,380,.405,44,87,.506,.589,19,28,.679,39,227,266,160,65,15,84,124,569,0,,onealro01
131,Jarace Walker,22,IND,PF,54,19,1297,195,483,.404,86,236,.364,109,247,.441,.493,92,118,.780,28,213,241,107,42,19,89,91,568,0,,walkeja02
132,Klay Thompson,35,DAL,SF,49,8,1083,200,516,.388,140,373,.375,60,143,.420,.523,27,37,.730,14,105,119,67,25,15,48,50,567,0,,thompkl01
133,Jock Landale,30,2TM,C,49,26,1146,220,417,.528,57,143,.399,163,274,.595,.596,64,97,.660,151,161,312,81,26,26,49,110,561,0,,landajo01
133,Jock Landale,30,MEM,C,45,25,1060,200,389,.514,49,129,.380,151,260,.581,.577,60,89,.674,141,151,292,75,25,22,46,102,509,0,,landajo01
133,Jock Landale,30,ATL,C,4,1,86,20,28,.714,8,14,.571,12,14,.857,.857,4,8,.500,10,10,20,6,1,4,3,8,52,0,,landajo01
134,P.J. Washington,27,DAL,PF,39,36,1197,208,465,.447,48,158,.304,160,307,.521,.499,87,129,.674,53,219,272,73,38,51,78,88,551,0,,washipj01
135,Coby White,25,CHI,SG,29,26,843,172,393,.438,72,208,.346,100,185,.541,.529,124,154,.805,7,101,108,136,20,2,88,71,540,0,,whiteco01
136,Dennis Schröder,32,2TM,PG,44,14,1135,183,457,.400,59,181,.326,124,276,.449,.465,115,140,.821,22,110,132,226,37,7,84,71,540,0,,schrode01
136,Dennis Schröder,32,SAC,PG,40,14,1056,172,422,.408,57,166,.343,115,256,.449,.475,109,133,.820,22,100,122,211,32,6,79,66,510,0,,schrode01
136,Dennis Schröder,32,CLE,PG,4,0,79,11,35,.314,2,15,.133,9,20,.450,.343,6,7,.857,0,10,10,15,5,1,5,5,30,0,,schrode01
137,Bub Carrington,20,WAS,PG,53,24,1483,187,465,.402,110,280,.393,77,185,.416,.520,54,71,.761,23,164,187,242,33,11,127,117,538,0,,carrica01
138,Kyle Filipowski,22,UTA,C,55,19,1216,197,405,.486,46,138,.333,151,267,.566,.543,94,132,.712,97,269,366,112,46,22,77,158,534,0,,filipky01
139,Rui Hachimura,27,LAL,PF,44,31,1314,209,409,.511,80,179,.447,129,230,.561,.609,36,49,.735,26,129,155,40,24,13,34,69,534,0,,hachiru01
140,Malik Monk,27,SAC,SG,43,0,953,190,436,.436,89,209,.426,101,227,.445,.538,64,73,.877,12,75,87,110,28,17,62,68,533,0,,monkma01
141,Josh Hart,30,NYK,SF,43,29,1314,196,394,.497,68,167,.407,128,227,.564,.584,63,85,.741,63,264,327,225,51,14,86,110,523,2,,hartjo01
142,A.J. Green,26,MIL,SG,49,49,1480,172,391,.440,151,350,.431,21,41,.512,.633,27,34,.794,12,116,128,99,27,5,41,115,522,0,,greenaj01
